id,item_name,category,price,item_count
1996594,Dream Waffel + --- + Erdbeere Extra + Smarties + Andere + Bunte Streusel + --- + Keine Sahne,Waffeln + AF Abwahl + AF Frucht + AF Specials + AF Specials + AF Topping + AF Abwahl + AF Sahne,6.5,1
1863088,Gast 1 + Butter. + Croissant + Brötchen + Nutella. + Ei,Ankreuz-Frühstück + AF Belag + AF Belag + AF Belag + AF Belag + AF Belag,6.1000000000000005,1
4161,Sour Cream,Ofenkartoffel,6.5,67
656413,afterwork Cheeseburger + Fleischpatty + Spiegelei + Bacon + Käse Burger + Beides,Speisen aus der Küche + Abfrage Burger + Abfrage Burger + Abfrage Burger + Abfrage Burger + Abfrage Burger,17.1125,4
1419437,Ziegen Burger Menü + Single + ohne Extra + Fries + Biggie Secret Sauce + Ohne Salat + - + Spar 12-17 1€,Burger Menü + Abfrage Beef o. Veggie + Abfrage Extras + -Fries- + Abfrage Fries Adds + Abfrage Ohne + Abfrage Ohne + Abfrage Bürger Menü,11.8,1
299621,CB Thunfisch + Knoblauch * + -,Croque Burger + AF Zusätzlich + AF Zusätzlich,5.349999999999998,18
202464,Menü + Chief Beef + Coleslaw + Miami + Softdrink*,Menu / Kidz / Schüler + Sandwiches + Beilagen + Soßen + AF Menu Drinks,11.950000000000001,3
412754,8er + ToGo mit Tüte + Weiße Schokolade + Bueno Lookma Special + MI Weiße Schokolade + TI Lotus Kekse + TI Haselnusskrokant + FI Erdbeeren,Choose It + Choose It + Abfrage Fill It + Abfrage Fill It + Abfrage Melt it + Abfrage Top It + Abfrage Top It + Abfrage Fruit It,7.2,1
516541,Rib-Eye + Rare + Rosmarinkartoffel,Steaks + Abfrage Gargrad + Toppings,26.8,3
232594,Kalaschnikow,Shots,3.0,20
670923,Combo Large Panini + Avocado Panini + Pitaya Base + Lazy + Cappuccino 300ml,Perfect Combos + Paninis & Bread + Smoothie Bowls + Toppings + Kaffee & Tee,19.2,1
1610607,Oliven,Frühstück Extras,1.0,2
1229934,MÜLLER HAT FREI 200g + Ohne + Medium + Ohne + Mayonnaise* + Fritten Gr. + Mango Aioli*,Burger + Extras + Abfrage Steak + Extras + Alle Saucen Hausg. + Fritten + Alle Saucen Hausg.,11.4,1
426685,Herzenswärme,Burger,8.049836065573786,122
338796,Wild Fruit,Heißgetränke,1.8,2
157606,Standart Waffel + Nutella + Ohne Soße + Banane + Erdbeer + Ohne Frucht 2 + Smarties + Ohne Special + Marshmallow + Ohne Topping + Ohne Eis,Waffeln + Extra Soße + Extra Soße + Extra Frucht + Extra Frucht + Extra Frucht + Extra Special + Extra Special + Extra Topping + Extra Topping + Extra Eis,7.0,1
83503,Ravioli tartufo e zucca,Wochen Karte,15.5,10
526055,kl. Wasser mit 0.33l,Alkoholfrei,2.108333333333333,12
1596512,Salat Atlantik + Gr. Knoblauchbaguette,Salate + AF Salat,20.5,5
1662258,Capricciosa + Scharfe Salami,Pizze BASE ROSSA + AF Variante,12.5,2
617601,Club double 200g' + Karamellisierte Zwieb + ——>,Club`s BBQ Bacon + Extras_ + Extras_,12.9,1
1354294,Calamari Fritti,Pesce / Fischgerichte,13.5,15
2039854,Macarons Päckli,Chocowelt,15.0,25
1517194,"136 Blauschiefer 0,1 l",Weißwein Mosel,3.3000000000000003,4
1796152,Grappa di Amaronee 4cl,Grappa Marc Trester 4cl,12.0,2
1186937,Cheeseburger + Extra Patty + Dirty Fries,Burger + Add On + Pommes,21.0,1
1851087,Raffelloeis,Speise Eis,1.4000000000000001,1
1537765,"Prosecco Glas 0,15 L",Aperitif,5.0,28
